"run_id","started_at_utc","task_label","models","agent_turns","total_tool_call_envelopes","exec_call_envelopes","wait_call_envelopes","subagent_call_envelopes","other_call_envelopes","repository_interaction_envelopes","file_read_envelopes","discovery_search_envelopes","validation_envelopes","github_cli_envelopes","external_tool_operation_mentions","operation_classification_status","input_tokens","cached_input_tokens","cache_write_input_tokens","output_tokens","reasoning_output_tokens","total_tokens","estimated_codex_credits","estimated_api_equivalent_usd","actual_cost_usd","token_evidence_status","tool_evidence_status","cost_evidence_status","phase_attribution_status","evidence_note"
"01a043b7-2338-7653-9e72-a2f5ca28bcbc","2026-08-27T14:54:30.772Z","Recover prior discussion and establish experimental route authoring","gpt-5.6-sol","29","199","192","7","0","0","191","78","88","30","55","1","derived","26786422","25933312","0","124165","51045","26910587","406.727","16.2691","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"01a0437f-cc41-7503-ae1a-66710815b7e0","2026-08-27T13:54:04.043Z","Review Issue 153 and remove duplicate v2 artifacts","gpt-5.6-sol","9","15","15","0","0","0","15","12","11","1","2","0","derived","1675957","1573888","0","11817","4900","1687774","31.854","1.2742","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019ff3a8-fa77-7350-a7de-8feffcc1b29a","2026-08-12T01:49:25.550Z","Check Issues 153 and 154 and evaluate route-production approaches","gpt-5.6-terra;gpt-5.6-sol","8","32","32","0","0","0","32","18","22","1","11","0","derived","3584139","3367936","0","16044","6939","3600183","58.504","2.3402","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019ff3a6-1794-7353-8cee-cebe961e598c","2026-08-12T01:46:16.394Z","Repair frontend dependency CI and review frontend security","gpt-5.6-sol;gpt-5.6-terra","3","30","28","2","0","0","28","18","23","7","1","0","derived","1469050","1298176","0","10350","3695","1479400","25.863","1.0345","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019ff347-be61-73c1-a6d3-4cfc9c15aeec","2026-08-12T00:03:13.171Z","Explain uncommitted changes and improve agent communication","gpt-5.6-terra;gpt-5.6-sol","16","89","87","2","0","0","83","23","38","20","37","3","derived","12025955","11759360","0","28225","9689","12054180","155.407","6.2163","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019ff2df-8746-7492-b357-bdd0422a409a","2026-08-11T22:09:23.330Z","Prepare the interactive Disco route for review and publication","gpt-5.6-sol","21","157","152","5","0","0","141","57","43","26","29","10","derived","22997605","21884032","0","89808","39285","23087413","375.102","15.0041","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019ff0f0-29f6-79c0-b860-beda16bbc221","2026-08-11T13:08:19.114Z","Analyze content documentation and preserve an interactive route experiment","gpt-5.6-sol","15","63","63","0","0","0","58","34","28","3","17","0","partial","9300247","8982272","0","38274","21650","9338521","140.757","5.6303","","partial","partial","partial","unavailable","One malformed JSONL line (590); recoverable values are partial."
"019fee87-a0eb-71e0-a680-7a9399c8a5ab","2026-08-11T01:54:53.985Z","Reconcile open tickets and diagnose the Issue 150 result","gpt-5.6-luna;gpt-5.6-sol;gpt-5.6-terra","5","19","19","0","0","0","19","12","15","0","9","0","derived","1464292","1217536","0","8876","4879","1473168","26.850","1.0740","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019fecae-7167-7d70-8fd1-4bbf2b46d17f","2026-08-10T17:18:03.163Z","Reconcile the latest push with Issue states","gpt-5.6-sol;gpt-5.6-luna","2","28","25","3","0","0","22","4","14","3","15","0","derived","1818317","1693440","0","8895","3973","1827212","33.870","1.3548","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019fec81-5f21-7d71-aaf5-f13df8ebf829","2026-08-10T16:28:49.354Z","Introduce a locally implemented Issue state","gpt-5.6-sol;gpt-5.6-luna","4","47","47","0","0","0","47","17","26","14","17","0","derived","3637745","3529984","0","16691","7249","3654436","11.098","0.4439","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019fec71-c6e3-7212-b5c6-f9d0889b54eb","2026-08-10T16:11:47.339Z","Strengthen conceptual validation in Grill Me","gpt-5.6-sol","3","49","37","1","11","0","32","16","21","21","9","0","derived","3413587","3297536","0","20760","7944","3434347","54.960","2.1984","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019fec65-2774-7e01-80b6-7775a0e4f5e7","2026-08-10T15:58:00.083Z","Move legacy-CSS validation before deployment","gpt-5.6-sol","5","58","55","3","0","0","55","21","30","12","13","0","derived","5632954","5460480","0","18918","8043","5651872","81.311","3.2524","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019fec4a-0ce0-73d0-a18a-05e51ea3432a","2026-08-10T15:28:23.816Z","Withdraw the unpublished source-first Research feature","gpt-5.6-sol","7","65","61","4","0","0","58","18","29","12","37","0","derived","6840630","6666752","0","32085","13320","6872715","100.098","4.0039","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019fec2f-c4e3-7ec2-90e3-30903f72c316","2026-08-10T14:59:41.452Z","Define and test a fast path to a complete route","gpt-5.6-sol;gpt-5.6-luna","21","182","172","10","0","0","151","64","71","28","35","9","derived","25231017","24389632","0","87612","28280","25318629","328.636","13.1455","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019febf2-7532-7702-b20c-0dfd5f1b749e","2026-08-10T13:52:43.367Z","Diagnose recurring VS Code terminal relaunch prompts","gpt-5.6-sol","4","34","33","1","0","0","25","14","11","0","12","8","derived","3916342","3719680","0","25028","12992","3941370","69.377","2.7751","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019feb9a-5bcc-7dd2-9814-4de15de1aec5","2026-08-10T12:16:29.695Z","Find parallel work and explore agent-scaling measurement","gpt-5.6-sol;gpt-5.6-terra","13","174","161","13","0","0","120","44","46","19","48","10","derived","27174063","26494720","0","99770","50890","27273833","381.095","15.2438","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019feb8c-a2cd-7a53-abdd-5b692d1ad972","2026-08-10T12:01:30.394Z","Define and begin the source-first Research feature","gpt-5.6-terra;gpt-5.6-sol","35","239","230","9","0","0","210","64","89","68","50","14","derived","30046042","28910848","0","147725","66902","30193767","380.951","15.2380","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019fe871-8db8-7fd2-a6d2-4c39fbfa6339","2026-08-09T21:33:03.856Z","Evolve pipeline review and Git delivery workflow","gpt-5.6-terra;gpt-5.6-sol","131","514","488","26","0","0","473","161","227","91","159","14","derived","72756059","69293824","0","328062","150830","73084121","906.378","36.2551","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019fe1f3-cf10-70b1-817d-bb54dcc1727b","2026-08-08T15:17:59.781Z","Address dependency warnings and investigate pipeline fragility","gpt-5.6-luna;gpt-5.6-terra","15","132","118","14","0","0","97","45","44","24","24","0","derived","17156843","16454400","0","42587","15851","17199430","49.721","1.9888","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"019fdca0-bb23-7101-b3d8-7079c4b52568","2026-08-07T14:29:09.083Z","Implement pipeline and review changes across several Issues","gpt-5.6-sol;gpt-5.6-terra;gpt-5.6-luna","139","984","925","59","0","0","813","291","302","196","159","0","derived","136124972","133318912","0","359018","132485","136483990","694.046","27.7618","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
